nome_instancia,nome_algoritmo,caminho_solucao,custo_solucao,profundidade_solucao,tempo_execucao_segundos,nos_visitados,nos_explorados,fator_medio_ramificacao
regua_puzzle_001,Backtracking,AA-BB -> A-ABB -> ABA-B -> AB-AB -> A-BAB -> -ABAB -> BA-AB -> B-AAB -> BAA-B -> BAAB- -> BA-BA -> B-ABA -> BBA-A,17.0,12,0.000131,22,16,1.312500
regua_puzzle_001,Breadth-First Search,AA-BB -> A-ABB -> ABA-B -> ABAB- -> AB-BA -> -BABA -> B-ABA -> BBA-A,11.0,7,0.000296,27,18,1.444444
regua_puzzle_001,Depth-First Search,AA-BB -> AAB-B -> A-BAB -> AB-AB -> ABBA- -> ABB-A -> AB-BA -> -BABA -> B-ABA -> BBA-A,13.0,9,0.000049,19,9,2.000000
regua_puzzle_001,Ordered Search,AA-BB -> A-ABB -> ABA-B -> AB-AB -> -BAAB -> B-AAB -> BA-AB -> BABA- -> BAB-A -> B-BAA,13.0,9,0.000057,22,11,1.909091
regua_puzzle_001,Greedy Search,AA-BB -> A-ABB -> ABA-B -> AB-AB -> -BAAB -> B-AAB -> BA-AB -> BABA- -> BAB-A -> B-BAA,13.0,9,0.000050,22,11,1.909091
regua_puzzle_001,A* Search,AA-BB -> A-ABB -> ABA-B -> ABAB- -> AB-BA -> -BABA -> B-ABA -> BBA-A,11.0,7,0.000102,27,18,1.444444
regua_puzzle_001,IDA* Search,AA-BB -> A-ABB -> ABA-B -> ABAB- -> AB-BA -> -BABA -> B-ABA -> BBA-A,11.0,7,0.000761,354,188,1.840426
regua_puzzle_002,Backtracking,A-ABB -> -AABB -> AA-BB -> AAB-B -> A-BAB -> -ABAB -> BA-AB -> B-AAB -> -BAAB -> AB-AB -> ABA-B -> ABAB- -> AB-BA -> A-BBA -> -ABBA -> BA-BA -> B-ABA -> BBA-A,24.0,17,0.000085,20,17,1.117647
regua_puzzle_002,Breadth-First Search,A-ABB -> ABA-B -> ABAB- -> AB-BA -> -BABA -> B-ABA -> BBA-A,10.0,6,0.000071,26,18,1.388889
regua_puzzle_002,Depth-First Search,A-ABB -> ABA-B -> ABAB- -> AB-BA -> A-BBA -> -ABBA -> BA-BA -> BAB-A -> B-BAA,12.0,8,0.000074,27,16,1.625000
